"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"272",12,"Tua Tagovailoa",ATL,"QB31","11","2 out of 5","5 out of 5","4 out of 5 stars","+13"
"273",12,"Darius Slayton",NYG,"WR98","8","2 out of 5","4 out of 5","4 out of 5 stars","+200"
"274",12,"Christian Kirk",SF,"WR99","8","2 out of 5","4 out of 5","2 out of 5 stars","-18"
"275",12,"Malik Davis",DAL,"RB80","14","-","-","4 out of 5 stars","+130"
"276",12,"Mason Taylor",NYJ,"TE33","13","1 out of 5","4 out of 5","4 out of 5 stars","+8"
"277",12,"Elijah Sarratt",BAL,"WR100","13","4 out of 5","4 out of 5","4 out of 5 stars","+49"
"278",12,"Xavier Legette",CAR,"WR101","5","2 out of 5","4 out of 5","2 out of 5 stars","+189"
"279",12,"Devin Neal",NO,"RB81","8","2 out of 5","4 out of 5","3 out of 5 stars","+52"
"280",12,"Marvin Mims Jr.",DEN,"WR102","10","3 out of 5","4 out of 5","2 out of 5 stars","+11"
"281",12,"Michael Penix Jr.",ATL,"QB32","11","2 out of 5","5 out of 5","4 out of 5 stars","0"
"282",12,"DJ Giddens",IND,"RB82","13","2 out of 5","4 out of 5","4 out of 5 stars","+148"
"283",12,"Theo Johnson",NYG,"TE34","8","1 out of 5","5 out of 5","3 out of 5 stars","+32"
"284",12,"Atlanta Falcons",ATL,"DST17","11","-","-","4 out of 5 stars","-51"
"285",12,"San Francisco 49ers",SF,"DST18","8","-","-","3 out of 5 stars","-55"
"286",12,"Seth McGowan",IND,"RB83","13","4 out of 5","4 out of 5","4 out of 5 stars","+22"
"287",12,"Deshaun Watson",CLE,"QB33","11","1 out of 5","5 out of 5","4 out of 5 stars","+97"
"288",12,"Kirk Cousins",LV,"QB34","13","2 out of 5","4 out of 5","1 out of 5 stars","+12"
"289",12,"Eli Stowers",PHI,"TE35","10","4 out of 5","4 out of 5","4 out of 5 stars","-31"
"290",12,"Kyle Williams",NE,"WR103","11","3 out of 5","4 out of 5","2 out of 5 stars","-33"
"291",12,"Kendre Miller",NO,"RB84","8","2 out of 5","4 out of 5","3 out of 5 stars","+34"
"292",12,"Kaleb Johnson",GB,"RB85","11","2 out of 5","5 out of 5","4 out of 5 stars","+44"
"293",12,"Shedeur Sanders",CLE,"QB35","11","3 out of 5","4 out of 5","4 out of 5 stars","-44"
"294",12,"New Orleans Saints",NO,"DST19","8","-","-","5 out of 5 stars","-46"
"295",12,"Brashard Smith",KC,"RB86","5","-","-","3 out of 5 stars","+40"
"296",12,"Emari Demercado",KC,"RB87","5","1 out of 5","5 out of 5","3 out of 5 stars","+74"
"297",12,"Adam Randall",BAL,"RB88","13","4 out of 5","4 out of 5","3 out of 5 stars","+349"
"298",12,"Hollywood Brown",PHI,"WR104","10","-","-","4 out of 5 stars","+4"
"299",12,"Mike Gesicki",CIN,"TE36","6","-","-","3 out of 5 stars","+58"
"300",12,"Devin Singletary",NYG,"RB89","8","1 out of 5","5 out of 5","4 out of 5 stars","-21"
"301",12,"Mack Hollins",NE,"WR105","11","-","-","2 out of 5 stars","+336"
"302",13,"Isaiah Bond",CLE,"WR106","11","-","-","3 out of 5 stars","+268"
"303",13,"Indianapolis Colts",IND,"DST20","13","-","-","5 out of 5 stars","-32"
"304",13,"Trey Benson",ARI,"RB90","14","1 out of 5","5 out of 5","2 out of 5 stars","+12"
"305",13,"Skyler Bell",BUF,"WR107","7","3 out of 5","4 out of 5","4 out of 5 stars","+27"
"306",13,"Brandon Aiyuk",SF,"WR108","8","2 out of 5","5 out of 5","2 out of 5 stars","-36"
"307",13,"Darren Waller",CAR,"TE37","5","-","-","2 out of 5 stars","+96"
"308",13,"Jake Tonges",SF,"TE38","8","-","-","3 out of 5 stars","-10"
"309",13,"Trevor Etienne",CAR,"RB91","5","-","-","1 out of 5 stars","+321"
"310",13,"Jarquez Hunter",MIA,"RB92","6","-","-","3 out of 5 stars","+84"
"311",13,"Andrei Iosivas",CIN,"WR109","6","-","-","4 out of 5 stars","+99"
"312",13,"Chicago Bears",CHI,"DST21","10","-","-","2 out of 5 stars","-117"
"313",13,"Isaac Guerendo",SF,"RB93","8","-","-","2 out of 5 stars","+244"
"314",13,"Jaleel McLaughlin",DEN,"RB94","10","-","-","2 out of 5 stars","+311"
"315",13,"Charlie Smyth",NO,"K18","8","-","-","5 out of 5 stars","+68"
"316",13,"DeMario Douglas",NE,"WR110","11","-","-","2 out of 5 stars","+273"
"317",13,"Jerome Ford",WAS,"RB95","7","2 out of 5","4 out of 5","4 out of 5 stars","+283"
"318",13,"Audric Estime",NO,"RB96","8","-","-","3 out of 5 stars","+12"
"319",13,"Darnell Washington",PIT,"TE39","9","-","-","2 out of 5 stars","-30"
"320",13,"Tyreek Hill",FA,"WR111","-","1 out of 5","5 out of 5","-","-76"
"321",13,"Michael Mayer",LV,"TE40","13","-","-","3 out of 5 stars","+156"
"322",13,"Jahan Dotson",ATL,"WR112","11","-","-","3 out of 5 stars","+218"
"323",13,"Tahj Brooks",CIN,"RB97","6","-","-","2 out of 5 stars","+158"
"324",13,"Will Shipley",PHI,"RB98","10","-","-","4 out of 5 stars","+204"
"325",13,"Oscar Delp",NO,"TE41","8","4 out of 5","4 out of 5","2 out of 5 stars","+236"
"326",13,"Charlie Kolar",LAC,"TE42","7","-","-","4 out of 5 stars","+72"
"327",13,"Elijah Arroyo",SEA,"TE43","11","-","-","3 out of 5 stars","+14"
"328",13,"Jalen Tolbert",MIA,"WR113","6","-","-","3 out of 5 stars","+188"
"329",13,"Bryce Lance",NO,"WR114","8","4 out of 5","4 out of 5","3 out of 5 stars","+51"
"330",13,"Xavier Hutchinson",HOU,"WR115","8","-","-","3 out of 5 stars","+314"
"331",13,"Dallas Cowboys",DAL,"DST22","14","-","-","1 out of 5 stars","-141"
"332",13,"Carson Beck",ARI,"QB36","14","2 out of 5","4 out of 5","2 out of 5 stars","+90"
"333",13,"Cole Kmet",CHI,"TE44","10","-","-","2 out of 5 stars","-43"
"334",13,"Erick All Jr.",CIN,"TE45","6","-","-","3 out of 5 stars","-"
"335",13,"Konata Mumpfield",LAR,"WR116","11","-","-","1 out of 5 stars","+14"
"336",13,"Eli Raridon",NE,"TE46","11","4 out of 5","4 out of 5","4 out of 5 stars","+12"
"337",13,"J.J. McCarthy",MIN,"QB37","6","-","-","5 out of 5 stars","-86"
"338",13,"Tyler Higbee",LAR,"TE47","11","-","-","4 out of 5 stars","-5"
"339",13,"Tez Johnson",TB,"WR117","10","-","-","4 out of 5 stars","+187"
"340",13,"Kareem Hunt",FA,"RB99","-","-","-","-","+76"
"341",13,"Jalen Royals",KC,"WR118","5","-","-","2 out of 5 stars","+95"
"342",13,"Olamide Zaccheaus",ATL,"WR119","11","-","-","3 out of 5 stars","+279"
"343",13,"Joe Mixon",FA,"RB100","-","-","-","-","-80"
"344",13,"Luke McCaffrey",WAS,"WR120","7","-","-","2 out of 5 stars","-23"
"345",13,"Kendrick Bourne",ARI,"WR121","14","-","-","2 out of 5 stars","+296"
"346",13,"Cedric Tillman",FA,"WR122","-","-","-","-","-"
"347",13,"Dawson Knox",BUF,"TE48","7","-","-","3 out of 5 stars","-28"
"348",13,"Bam Knight",ARI,"RB101","14","-","-","2 out of 5 stars","-"
"349",13,"Max Klare",LAR,"TE49","11","3 out of 5","4 out of 5","4 out of 5 stars","+2"
"350",13,"Chris Brazzell II",CAR,"WR123","5","3 out of 5","4 out of 5","2 out of 5 stars","+304"
"351",14,"Brenen Thompson",LAC,"WR124","7","3 out of 5","4 out of 5","2 out of 5 stars","+239"
"352",14,"Joshua Palmer",BUF,"WR125","7","-","-","4 out of 5 stars","-12"
"353",14,"Mac Jones",SF,"QB38","8","-","-","1 out of 5 stars","-10"
"354",14,"Noah Gray",KC,"TE50","5","-","-","4 out of 5 stars","+9"
"355",14,"Ja'Tavion Sanders",CAR,"TE51","5","-","-","2 out of 5 stars","-8"
"356",14,"Treylon Burks",WAS,"WR126","7","-","-","2 out of 5 stars","+291"
"357",14,"Eli Heidenreich",PIT,"RB102","9","2 out of 5","4 out of 5","2 out of 5 stars","+316"
"358",14,"Jake Elliott",PHI,"K19","10","-","-","5 out of 5 stars","-117"
"359",14,"Tyler Bass",BUF,"K20","7","-","-","2 out of 5 stars","-133"
"360",14,"Justin Fields",KC,"QB39","5","-","-","2 out of 5 stars","-36"
"361",14,"Michael Carter",TEN,"RB103","9","-","-","3 out of 5 stars","+175"
"362",14,"Carolina Panthers",CAR,"DST23","5","-","-","3 out of 5 stars","-110"
"363",14,"Malik Benson",LV,"WR127","13","3 out of 5","2 out of 5","2 out of 5 stars","+170"
"364",14,"Roman Wilson",PIT,"WR128","9","-","-","3 out of 5 stars","+105"
"365",14,"Ty Simpson",LAR,"QB40","11","3 out of 5","4 out of 5","3 out of 5 stars","-105"
"366",14,"Jawhar Jordan",HOU,"RB104","8","-","-","4 out of 5 stars","+268"
"367",14,"New York Giants",NYG,"DST24","8","-","-","1 out of 5 stars","-148"
"368",14,"Trey Smack",GB,"K21","11","-","-","4 out of 5 stars","-156"
"369",14,"Justin Joly",FA,"TE52","-","3 out of 5","4 out of 5","-","+50"
"370",14,"Cincinnati Bengals",CIN,"DST25","6","-","-","4 out of 5 stars","-116"
"371",14,"Tampa Bay Buccaneers",TB,"DST26","10","-","-","4 out of 5 stars","-89"
"372",14,"Savion Williams",GB,"WR129","11","-","-","5 out of 5 stars","+256"
"373",14,"Kalif Raymond",CHI,"WR130","10","-","-","3 out of 5 stars","+88"
"374",14,"KaVontae Turpin",DAL,"WR131","14","-","-","2 out of 5 stars","-21"
"375",14,"Raheim Sanders",CLE,"RB105","11","-","-","3 out of 5 stars","+235"
"376",14,"Kevin Coleman Jr.",MIA,"WR132","6","-","-","3 out of 5 stars","+204"
"377",14,"Anthony Richardson Sr.",IND,"QB41","13","-","-","4 out of 5 stars","+102"
"378",14,"Zane Gonzalez",FA,"K22","-","-","-","-","+201"
"379",14,"Dont'e Thornton Jr.",LV,"WR133","13","-","-","2 out of 5 stars","+196"
"380",14,"Zavion Thomas",CHI,"WR134","10","2 out of 5","4 out of 5","3 out of 5 stars","-43"
"381",14,"J'Mari Taylor",JAC,"RB106","7","2 out of 5","4 out of 5","4 out of 5 stars","-"
"382",14,"Tennessee Titans",TEN,"DST27","9","-","-","2 out of 5 stars","-115"
"383",14,"Roschon Johnson",CHI,"RB107","10","-","-","2 out of 5 stars","+277"
"384",14,"Noah Fant",NO,"TE53","8","-","-","2 out of 5 stars","+40"
"385",14,"Colbie Young",CIN,"WR135","6","2 out of 5","4 out of 5","4 out of 5 stars","-56"
"386",14,"John Metchie III",CAR,"WR136","5","-","-","2 out of 5 stars","+230"
"387",14,"Joe Flacco",CIN,"QB42","6","-","-","3 out of 5 stars","-70"
"388",14,"Tutu Atwell",LAR,"WR137","11","-","-","1 out of 5 stars","+224"
"389",14,"Jaylin Lane",WAS,"WR138","7","-","-","2 out of 5 stars","+218"
"390",14,"Kyle Juszczyk",SF,"RB108","8","-","-","2 out of 5 stars","-4"
"391",14,"CJ Daniels",LAR,"WR139","11","2 out of 5","4 out of 5","1 out of 5 stars","-30"
"392",14,"Jameis Winston",NYG,"QB43","8","-","-","4 out of 5 stars","-87"
"393",14,"Luke Musgrave",GB,"TE54","11","-","-","2 out of 5 stars","-6"
"394",14,"Demarcus Robinson",SF,"WR140","8","-","-","2 out of 5 stars","+45"
"395",14,"Nick Westbrook-Ikhine",IND,"WR141","13","-","-","4 out of 5 stars","+244"
"396",14,"Marcus Mariota",WAS,"QB44","7","-","-","2 out of 5 stars","+105"
"397",14,"Phil Mafah",FA,"RB109","-","-","-","-","-"
"398",14,"Washington Commanders",WAS,"DST28","7","-","-","2 out of 5 stars","-124"
"399",14,"Blake Grupe",IND,"K23","13","-","-","4 out of 5 stars","-93"
"400",14,"Ashton Dulin",IND,"WR142","13","-","-","4 out of 5 stars","+185"
"401",14,"Nick Folk",ATL,"K24","11","-","-","0 out of 5 stars","-135"
"402",14,"Devontez Walker",BAL,"WR143","13","-","-","4 out of 5 stars","-92"
"403",14,"Tommy Tremble",CAR,"TE55","5","-","-","2 out of 5 stars","-31"
"404",14,"Las Vegas Raiders",LV,"DST29","13","-","-","4 out of 5 stars","-139"
"405",14,"Ryan Fitzgerald",CAR,"K25","5","-","-","0 out of 5 stars","-82"
"406",14,"Daniel Carlson",NO,"K26","8","-","-","5 out of 5 stars","-"
"407",14,"Sione Vaki",DET,"RB110","6","-","-","5 out of 5 stars","+256"
"408",14,"Joey Slye",TEN,"K27","9","-","-","4 out of 5 stars","-97"
"409",14,"Chad Ryland",ARI,"K28","14","-","-","2 out of 5 stars","-102"
"410",14,"Rasheen Ali",BAL,"RB111","13","-","-","3 out of 5 stars","-"
"411",14,"Barion Brown",NO,"WR144","8","2 out of 5","4 out of 5","3 out of 5 stars","-67"
"412",14,"Brandon McManus",FA,"K29","-","-","-","-","-21"
"413",14,"Jam Miller",FA,"RB112","-","2 out of 5","4 out of 5","-","+140"
"414",14,"John Bates",WAS,"TE56","7","-","-","1 out of 5 stars","+167"
"415",14,"Ben Sinnott",WAS,"TE57","7","-","-","1 out of 5 stars","+176"
"416",14,"Joe Milton III",DAL,"QB45","14","-","-","2 out of 5 stars","-28"
"417",15,"Ben Sauls",NYG,"K30","8","-","-","2 out of 5 stars","-116"
"418",15,"Jordan Whittington",LAR,"WR145","11","-","-","1 out of 5 stars","-64"
"419",15,"Mitchell Evans",CAR,"TE58","5","-","-","2 out of 5 stars","-"
"420",15,"Tyler Goodson",ATL,"RB113","11","-","-","2 out of 5 stars","-"
"421",15,"Daniel Bellinger",TEN,"TE59","9","-","-","3 out of 5 stars","+181"
"422",15,"Cade Klubnik",NYJ,"QB46","13","3 out of 5","4 out of 5","4 out of 5 stars","-20"
"423",15,"Elijah Higgins",ARI,"TE60","14","-","-","2 out of 5 stars","-55"
"424",15,"Austin Hooper",ATL,"TE61","11","-","-","3 out of 5 stars","+140"
"425",15,"Isaiah Williams",NYJ,"WR146","13","-","-","4 out of 5 stars","-"
"426",15,"Tommy Myers",FA,"TE62","-","-","-","-","-"
"427",15,"Spencer Shrader",IND,"K31","13","-","-","4 out of 5 stars","-114"
"428",15,"Terrell Jennings",FA,"RB114","-","-","-","-","-"
"429",15,"Miami Dolphins",MIA,"DST30","6","-","-","3 out of 5 stars","-146"
"430",15,"Dameon Pierce",FA,"RB115","-","-","-","-","-"
"431",15,"Odell Beckham Jr.",NYG,"WR147","8","-","-","4 out of 5 stars","-89"
"432",15,"Dyami Brown",WAS,"WR148","7","-","-","2 out of 5 stars","+144"
"433",15,"Greg Dortch",DET,"WR149","6","-","-","4 out of 5 stars","+32"
"434",15,"Hunter Luepke",DAL,"RB116","14","-","-","4 out of 5 stars","+160"
"435",15,"New York Jets",NYJ,"DST31","13","-","-","4 out of 5 stars","-46"
"436",15,"Austin Ekeler",FA,"RB117","-","-","-","-","+98"
"437",15,"Deion Burks",IND,"WR150","13","2 out of 5","4 out of 5","4 out of 5 stars","-"
"438",15,"Zavier Scott",MIN,"RB118","6","-","-","4 out of 5 stars","-"
"439",15,"Drew Stevens",WAS,"K32","7","-","-","5 out of 5 stars","-135"
"440",15,"Van Jefferson",WAS,"WR151","7","-","-","2 out of 5 stars","+70"
"441",15,"Damien Martinez",GB,"RB119","11","-","-","4 out of 5 stars","-"
"442",15,"Jake Moody",FA,"K33","-","-","-","-","-115"
"443",15,"Zach Ertz",FA,"TE63","-","-","-","-","+98"
"444",15,"Jason Sanders",NYJ,"K34","13","-","-","2 out of 5 stars","-149"
"445",15,"Jacob Saylors",DET,"RB120","6","-","-","5 out of 5 stars","-"
"446",15,"Jonnu Smith",GB,"TE64","11","-","-","2 out of 5 stars","-45"
"447",15,"Marlin Klein",HOU,"TE65","8","3 out of 5","4 out of 5","4 out of 5 stars","-10"
"448",15,"Matt Hibner",BAL,"TE66","13","4 out of 5","4 out of 5","4 out of 5 stars","-"
"449",15,"Isaiah Williams",FA,"WR152","-","-","-","-","-"
"450",15,"Alec Ingold",LAC,"RB121","7","-","-","3 out of 5 stars","-"
"451",15,"Reggie Gilliam",NE,"RB122","11","-","-","2 out of 5 stars","+173"
"452",15,"Jeremy McNichols",WAS,"RB123","7","-","-","4 out of 5 stars","-"
"453",15,"Elijah Moore",PHI,"WR153","10","-","-","4 out of 5 stars","+199"
"454",15,"Tai Felton",MIN,"WR154","6","-","-","5 out of 5 stars","+31"
"455",15,"Josh Williams",TB,"RB124","10","-","-","2 out of 5 stars","-121"
"456",15,"Arizona Cardinals",ARI,"DST32","14","-","-","2 out of 5 stars","-159"
"457",15,"Jahdae Walker",CHI,"WR155","10","-","-","3 out of 5 stars","-42"
"458",15,"Riley Leonard",IND,"QB47","13","-","-","4 out of 5 stars","+56"
"459",15,"Khalil Herbert",SF,"RB125","8","-","-","2 out of 5 stars","+196"
"460",15,"Patrick Ricard",NYG,"RB126","8","-","-","4 out of 5 stars","+34"
"461",15,"Tyler Badie",DEN,"RB127","10","-","-","2 out of 5 stars","-"
"462",15,"Will Kacmarek",MIA,"TE67","6","1 out of 5","4 out of 5","5 out of 5 stars","-67"
"463",15,"Dylan Laube",LV,"RB128","13","-","-","2 out of 5 stars","-"
"464",15,"Ronnie Rivers",LAR,"RB129","11","-","-","5 out of 5 stars","+195"
"465",15,"Roman Hemby",LV,"RB130","13","1 out of 5","4 out of 5","2 out of 5 stars","-"
"466",15,"Gardner Minshew II",ARI,"QB48","14","-","-","2 out of 5 stars","+39"
"467",15,"DeAndre Hopkins",BAL,"WR156","13","-","-","4 out of 5 stars","+68"
"468",15,"Josh Oliver",MIN,"TE68","6","-","-","4 out of 5 stars","-110"
"469",15,"Max Bredeson",MIN,"RB131","6","1 out of 5","5 out of 5","4 out of 5 stars","+90"
"470",15,"Dohnte Meyers",CIN,"WR157","6","-","-","4 out of 5 stars","-"
"471",15,"Tanner Koziol",JAC,"TE69","7","3 out of 5","4 out of 5","3 out of 5 stars","+79"
"472",15,"Tyler Lockett",LV,"WR158","13","-","-","2 out of 5 stars","-"
"473",15,"Jordan Watkins",SF,"WR159","8","-","-","2 out of 5 stars","-"
"474",15,"Adam Prentice",DEN,"RB132","10","-","-","2 out of 5 stars","-"
"475",15,"Lew Nichols III",PIT,"RB133","9","-","-","2 out of 5 stars","-"
"476",15,"Jacob Cowing",SF,"WR160","8","-","-","2 out of 5 stars","-"
"477",15,"Xavier Smith",LAR,"WR161","11","-","-","1 out of 5 stars","+68"
"478",15,"Antonio Gibson",FA,"RB134","-","-","-","-","+206"
"479",15,"Robert Henry Jr.",FA,"RB135","-","1 out of 5","4 out of 5","-","-"
"480",15,"British Brooks",HOU,"RB136","8","-","-","4 out of 5 stars","-"
"481",15,"Cade Stover",HOU,"TE70","8","-","-","4 out of 5 stars","-15"
"482",15,"Jimmy Horn Jr.",CAR,"WR162","5","-","-","2 out of 5 stars","-74"
"483",15,"Tim Patrick",NYJ,"WR163","13","-","-","4 out of 5 stars","+160"
"484",15,"Tyrod Taylor",GB,"QB49","11","-","-","4 out of 5 stars","-139"
"485",15,"Nathan Carter",ATL,"RB137","11","-","-","2 out of 5 stars","-"
"486",15,"Marquez Valdes-Scantling",FA,"WR164","-","-","-","-","+17"
"487",15,"Jackson Hawes",BUF,"TE71","7","-","-","3 out of 5 stars","-13"
"488",16,"Moliki Matavao",NO,"TE72","8","-","-","2 out of 5 stars","-"
"489",16,"Chris Blair",ATL,"WR165","11","-","-","3 out of 5 stars","-"
"490",16,"Jake Browning",FA,"QB50","-","-","-","-","+1"
"491",16,"Michael Woods II",DEN,"WR166","10","-","-","2 out of 5 stars","-"
"492",16,"Sam Roush",CHI,"TE73","10","2 out of 5","4 out of 5","2 out of 5 stars","-6"
"493",16,"Xavier Restrepo",TEN,"WR167","9","-","-","3 out of 5 stars","-"
"494",16,"Quinn Ewers",JAC,"QB51","7","-","-","4 out of 5 stars","-128"
"495",16,"Mitch Tinsley",FA,"WR168","-","-","-","-","+116"
"496",16,"Drew Sample",CIN,"TE74","6","-","-","3 out of 5 stars","-33"
"497",16,"Adam Trautman",DEN,"TE75","10","-","-","4 out of 5 stars","-93"
